Date,Predicted Price,Original Price,21 SMA,RSI,Upper BBand,Middle BBand,Lower BBand,MACD,MACD Signal,Score,Signal
9/6/2019,312.52042,305.6956,336.0874571,19.9261148,366.7612322,335.38907,304.0169078,-14.94812494,-13.06432465,0,0
9/9/2019,308.58105,305.6956,333.9750952,19.9261148,366.3050028,333.17109,300.0371772,-15.23955465,-13.49937065,0,0
9/10/2019,307.28818,305.6956,331.8627333,19.9261148,365.1897032,330.95311,296.7165168,-15.29421263,-13.85833905,0,0
9/11/2019,307.30518,308.5887,329.8881381,24.4749607,363.2600846,328.879785,294.4994854,-14.93195422,-14.07306208,1,1
9/12/2019,308.6791,308.5887,327.9135429,24.4749607,360.8281631,326.80646,292.7847569,-14.4779688,-14.15404342,1,0
9/13/2019,307.76532,308.5887,325.9389476,24.4749607,357.8776391,324.733135,291.5886309,-13.95729112,-14.11469296,0,0
9/16/2019,308.20148,308.5887,323.9643524,24.4749607,356.531554,323.26252,289.993486,-13.39029532,-13.96981343,0,0
9/17/2019,307.9504,313.4103,322.7933667,33.00618742,353.408125,321.62314,289.838155,-12.40884282,-13.65761931,0,1
9/18/2019,311.41315,313.4103,321.2320524,33.00618742,349.553681,319.918665,290.283649,-11.49848724,-13.2257929,0,0
9/19/2019,311.5734,323.0537,320.0679524,46.91527051,345.6212732,318.70649,291.7917068,-9.884934724,-12.55762126,1,1
9/20/2019,317.2727,323.0537,318.9135,46.91527051,341.1744154,317.501065,293.8277146,-8.508106573,-11.74771832,0,0
9/23/2019,320.4552,323.0537,317.7654762,46.91527051,335.1789568,316.199205,297.2194532,-7.33243658,-10.86466198,0,0
9/24/2019,321.45975,324.9728,316.6169952,49.52023956,331.2536285,315.403625,299.5536215,-6.174676482,-9.926664877,-1,1
9/25/2019,322.9151,329.5245,316.0760476,55.14270446,331.9450635,315.573835,299.2026065,-4.834134223,-8.908158746,1,1
9/26/2019,327.27988,337.5381,316.6197524,62.96390425,334.6096556,316.144725,297.6797944,-3.089500439,-7.744427084,0,1
9/27/2019,328.85522,336.188,317.0991667,61.03314122,336.815293,316.705005,296.594717,-1.795114421,-6.554564552,0,-1
9/30/2019,334.6018,339.3318,317.7824714,63.81562152,339.5822572,317.422475,295.2626928,-0.509749713,-5.345601584,0,1
10/1/2019,336.84427,330.942,318.0662619,52.94938812,341.1202282,318.25084,295.3814518,-0.166160272,-4.309713322,0,-1
10/2/2019,335.3841,332.6971,318.9387571,54.68760509,342.8020866,319.21566,295.6292334,0.244935276,-3.398783602,0,1
10/3/2019,333.79083,328.1262,319.6399714,49.55314835,343.3721492,320.33719,297.3022308,0.199597197,-2.679107442,0,-1
10/4/2019,330.7111,328.213,320.7122286,49.64982227,343.7132163,321.46306,299.2129037,0.168725516,-2.109540851,-1,0
10/7/2019,331.75244,336.0338,322.1569048,57.54436073,344.8569928,322.97997,301.1029472,0.766496984,-1.534333284,1,1
10/8/2019,333.66663,329.8716,323.3081429,50.78740528,344.7437781,324.18877,303.6337619,0.734529935,-1.08056064,1,-1
10/9/2019,331.4834,335.3684,324.7211333,55.77586492,345.3181876,325.527755,305.7373224,1.139604983,-0.636527515,0,1
10/10/2019,331.7819,343.8835,326.4018381,62.17263561,347.0207578,327.292495,307.5642322,2.123251759,-0.08457166,0,1
10/11/2019,338.4281,349.7274,328.3608238,65.82601494,349.4237676,329.34943,309.2750924,3.335898643,0.5995224,0,1
10/14/2019,350.7586,345.7157,330.1287762,61.43924452,350.0886893,331.20578,312.3228707,3.927940519,1.265206024,0,-1
10/15/2019,343.49094,346.2172,331.9206095,61.78212366,350.9440272,332.846125,314.7482228,4.387033835,1.889571586,0,0
10/16/2019,347.66083,344.8478,333.4176333,60.20780587,350.8773038,334.418,317.9586962,4.587487757,2.42915482,0,-1
10/17/2019,345.55768,327.6054,334.0935905,44.74664434,350.5878038,334.645585,318.7033662,3.316797379,2.606683332,-1,-1
10/18/2019,338.99667,314.0661,333.6656095,36.76326796,351.8363652,334.196205,316.5560448,1.20338586,2.326023838,-1,-1
10/21/2019,324.41428,303.8537,332.7513238,32.10976916,354.8415583,333.236205,311.6308517,-1.280799073,1.604659256,0,-1
10/22/2019,316.67603,303.5452,331.8223476,31.97808608,357.1619099,332.164825,307.1677401,-3.237111495,0.636305105,-1,0
10/23/2019,315.786,297.952,330.5356429,29.60735502,359.699689,330.5862,301.472711,-5.17912594,-0.526781104,1,-1
10/24/2019,307.81714,303.8634,329.3136857,35.0849498,360.0378342,328.902465,297.7670958,-6.170061178,-1.655437118,-1,1
10/25/2019,301.8736,304.0659,327.7197714,35.27076552,360.0354514,327.29636,294.5572686,-6.859967006,-2.696343096,0,0
10/28/2019,303.45627,304.6445,326.2177,35.83591992,359.2289968,325.561995,291.8949932,-7.276159128,-3.612306302,1,0
10/29/2019,303.8488,306.0524,324.6329667,37.27111931,358.9239892,324.317515,289.7110408,-7.407005273,-4.371246097,1,1
10/30/2019,304.43372,306.1489,323.4523429,37.37451717,358.2397321,322.990105,287.7404779,-7.417411737,-4.980479225,1,0
10/31/2019,305.86963,303.6512,322.0692048,35.73276256,357.9059277,321.766355,285.6267823,-7.540282765,-5.492439933,1,-1
